method,query_index,query_id,question,category,reasoning,gold_ids,baseline_ids,refined_ids,lost_gold,gained_gold,status,review_notes
d_threshold_0.3,19,b34c249b,Impact of community mktg on LULU's CAC & loyalty metrics.,Company overview,False,[20],"[1260, 1252, 15, 24, 4583]","[1260, 1252, 15, 24, 4583]",[],[],unchanged,
d_threshold_0.3,21,657fc00c,Exec separation risk in governance for LULU board.,Governance,False,[22],"[732, 731, 162, 1038, 1099]","[732, 731, 162, 1038, 1099]",[],[],unchanged,
d_threshold_0.3,22,29bb2dcf,Quarterly CIO/CISO oversight on cybersecurity risk boosts investor confidence in LULU.,Governance,False,[23],"[977, 5443, 3796, 3360, 3600]","[977, 5443, 3796, 3360, 3600]",[],[],unchanged,
d_threshold_0.3,23,38aeac1d,Impact on margins from shipping fee cost acct for LULU.,Accounting,False,[24],"[4597, 15, 178, 1727, 4815]","[4597, 15, 178, 1727, 4815]",[],[],unchanged,
d_threshold_0.3,24,a6960aa5,LULU's cash equivalents impact liquidity.,Financials,False,"[15, 25]","[4383, 5351, 5696, 5740, 2055]","[4383, 5351, 5696, 5740, 2055]",[],[],unchanged,
d_threshold_0.3,25,5d422a98,"Lululemon, ticker LULU, excels in premium branding & tech innovation, impacting its market position vs. competitors.",Company overview,False,[26],"[174, 3527, 26, 1440, 1170]","[174, 3527, 26, 1440, 1170]",[],[],unchanged,
d_threshold_0.3,26,be180e64,"Purchase timing, volume, liquidity impact for LULU ESPP.",Governance,False,[27],"[24, 5, 15, 1425, 1648]","[24, 5, 15, 1425, 1648]",[],[],unchanged,
d_threshold_0.3,27,07a24577,Trend in accrued CapEx for investment pace at LULU.,Footnotes,False,"[28, 29]","[3466, 3693, 25, 5405, 2358]","[3466, 3693, 25, 5405, 2358]",[],[],unchanged,
d_threshold_0.3,28,b703f322,Analysis of revenue growth trends for CrowdStrike (CRWD) FY22-FY23 and FY23-FY24.,Financials,True,[30],"[30, 5471, 295, 1529, 118]","[30, 5471, 295, 1529, 118]",[],[],unchanged,
d_threshold_0.3,29,d2edc80b,"Assessment of work stoppage risk due to labor disputes at CrowdStrike, CRWD.",Company overview,True,[31],"[5635, 3491, 3021, 1, 3655]","[5635, 3491, 3021, 1, 3655]",[],[],unchanged,
d_threshold_0.3,30,3bd723dd,"Impact of CrowdStrike's subs vs. pro services rev growth on overall rev trends, CRWD.",Footnotes,False,[32],"[30, 1443, 1524, 4401, 5471]","[30, 1443, 1524, 4401, 5471]",[],[],unchanged,
d_threshold_0.3,31,5c779106,CRWD's unvested share repurchase affects risk & cash flow.,Shareholder return,False,"[33, 34]","[2802, 5248, 2240, 4779, 4038]","[2802, 5248, 2240, 4779, 4038]",[],[],unchanged,
d_threshold_0.3,33,b0253cb9,"Falcon platform scalability, innovation, and differentiation in deployment CRWD.",Company overview,False,[36],"[36, 43, 760, 5045, 2432]","[36, 43, 760, 5045, 2432]",[],[],unchanged,
d_threshold_0.3,34,b7268d1d,Liquidity and long-term profitability may be affected by CRWD's legal proceedings.,Legal,False,[37],"[3591, 5142, 3228, 1022, 1590]","[3591, 5142, 3228, 1022, 1590]",[],[],unchanged,
d_threshold_0.3,35,c4bf37dc,CFO of CrowdStrike focuses on capital allocation & financial mgmt insights.,Governance,False,[38],"[30, 5405, 5525, 1709, 301]","[30, 5405, 5525, 1709, 301]",[],[],unchanged,
d_threshold_0.3,36,ab7014a6,ESG governance risk mgmt. for CRWD.,Governance,False,[39],"[112, 713, 39, 698, 866]","[112, 713, 39, 698, 866]",[],[],unchanged,
d_threshold_0.3,38,6e873fd0,CRWD's profitability profile is affected by contractual cash outflows and associated risks.,Footnotes,False,[41],"[143, 1869, 1036, 1495, 242]","[143, 1869, 1036, 1495, 242]",[],[],unchanged,
d_threshold_0.3,39,8ac98b17,"CRWD's liquidity breakdown for short-term coverage as of Jan 31, 2024.",Financials,False,[42],"[256, 3844, 5059, 1358, 5740]","[256, 3844, 5059, 1358, 5740]",[],[],unchanged,
d_threshold_0.3,41,d4b02852,CRWD's acquisition of Bionic & Reposify includes goodwill breakdown driven by strategic factors.,Footnotes,False,[44],"[44, 3459, 293, 1159, 2362]","[44, 3459, 293, 1159, 2362]",[],[],unchanged,
d_threshold_0.3,42,8d382a39,"Total non-op income for Jan 28, 2024, & its impact on financial resilience for NVDA.",Financials,True,[45],"[105, 2113, 3258, 755, 2405]","[105, 2113, 3258, 755, 2405]",[],[],unchanged,
d_threshold_0.3,43,4dfd5440,R&D vs ops employee ratio at NVDA.,Company overview,True,[46],"[2904, 5311, 5602, 4321, 2307]","[2904, 5311, 5602, 4321, 2307]",[],[],unchanged,
d_threshold_0.3,45,864fd74a,Impact on NVDA share repurchases from the excise tax in IRA.,Shareholder return,False,[48],"[2093, 2711, 296, 801, 2251]","[2093, 2711, 296, 801, 2251]",[],[],unchanged,
d_threshold_0.3,46,1db74376,"NVIDIA's cap allocation efficiency, liability mitigation, and impact of external cybersecurity consultations.",Risk,False,[49],"[53, 4071, 3178, 1210, 2587]","[53, 4071, 3178, 1210, 2587]",[],[],unchanged,
d_threshold_0.3,47,dbc577e8,NVIDIA (NVDA) long-term financial & competitive safeguards amid GPU/CPU/AI competition.,Company overview,False,[50],"[527, 818, 58, 50, 53]","[527, 818, 58, 50, 53]",[],[],unchanged,
d_threshold_0.3,48,7843fa28,"Uncertainty in NVIDIA litigation may impact growth valuation significantly, NVDA.",Legal,False,[51],"[5792, 45, 1368, 696, 53]","[5792, 45, 1368, 696, 53]",[],[],unchanged,
d_threshold_0.3,49,8e615a7a,NVIDIA Corp's exec ops/legal impact on risk mgmt & corp governance.,Governance,False,[52],"[4530, 3385, 53, 3296, 979]","[4530, 3385, 53, 3296, 979]",[],[],unchanged,
d_threshold_0.3,50,c055991e,How are energy efficiency and Green500 recognition impacting profitability and cost mgmt in Nvidia GPU businesses (NVDA)?,Governance,False,[53],"[527, 47, 53, 45, 4984]","[527, 47, 53, 45, 4984]",[],[],unchanged,
d_threshold_0.3,51,39d85a49,Historical return adjustments for NVDA raise concerns about future revenue decline implications.,Accounting,False,[54],"[4436, 2028, 1764, 5480, 755]","[4436, 2028, 1764, 5480, 755]",[],[],unchanged,
d_threshold_0.3,52,7b6ec08b,Impact on LT debt profile & interest exp. from NVDA 0.309% Notes repaid.,Financials,False,[55],"[5029, 1416, 5415, 369, 1649]","[5029, 1416, 5415, 369, 1649]",[],[],unchanged,
d_threshold_0.3,53,b5e0dc1c,CapEx % rev impact on NVDA's margins/cash flow.,Footnotes,False,[56],"[3466, 2043, 3693, 765, 755]","[3466, 2043, 3693, 765, 755]",[],[],unchanged,
d_threshold_0.3,55,df464ff0,Impact of NVDA's AI/autonomous invsmt on R&D & long-term cash flow.,Company overview,False,[58],"[2043, 765, 755, 3522, 73]","[2043, 765, 755, 3522, 73]",[],[],unchanged,
d_threshold_0.3,58,a0d72ab1,YoY subs & support rev growth impact on earnings predictability for PANW.,Footnotes,False,[61],"[5211, 556, 1927, 145, 854]","[5211, 556, 1927, 145, 854]",[],[],unchanged,
d_threshold_0.3,59,dd99d4f6,History of share repurchase authorization for PANW.,Shareholder return,False,[62],"[2115, 2859, 1597, 4581, 5821]","[2115, 2859, 1597, 4581, 5821]",[],[],unchanged,
d_threshold_0.3,61,42a3eae0,PANW's S&M spend significantly affects its competitiveness and drives market share/rev growth.,Company overview,False,[64],"[2025, 5405, 28, 5233, 3025]","[2025, 5405, 28, 5233, 3025]",[],[],unchanged,
d_threshold_0.3,62,9d5307ed,Impact on cash flow liability from pending legal outcomes for PANW.,Legal,False,[65],"[1495, 5781, 4497, 1869, 3721]","[1495, 5781, 4497, 1869, 3721]",[],[],unchanged,
d_threshold_0.3,64,539a7983,ESG risk mitig. for PANW governance.,Governance,False,[67],"[112, 39, 698, 713, 731]","[112, 39, 698, 713, 731]",[],[],unchanged,
d_threshold_0.3,65,841a80b5,Internal controls for performance obligations and revenue reliability at PANW.,Accounting,False,[68],"[1188, 2005, 2953, 476, 3398]","[1188, 2005, 2953, 476, 3398]",[],[],unchanged,
d_threshold_0.3,67,bcdc4f8b,"Change in cash, equivalents, and investments for Palo Alto Networks (PANW) from 2023 to July 2024.",Financials,False,[70],"[59, 66, 3400, 1731, 3522]","[59, 66, 3400, 1731, 3522]",[],[],unchanged,
d_threshold_0.3,68,abf9d50e,Impact of amortization on useful lives of intangible assets for PANW.,Footnotes,False,[71],"[5124, 1863, 5469, 3401, 3802]","[5124, 1863, 5469, 3401, 3802]",[],[],unchanged,
d_threshold_0.3,69,8a5a8dd5,Customer diversification at PANW has a significant impact on its competitive position.,Company overview,False,[72],"[4464, 1322, 4225, 4967, 1252]","[4464, 1322, 4225, 4967, 1252]",[],[],unchanged,
d_threshold_0.3,70,f73a90f1,"Gross profit calc for Analog Devices 2024, ADI.",Financials,True,[73],"[73, 1152, 1408, 1174, 1953]","[73, 1152, 1408, 1174, 1953]",[],[],unchanged,
d_threshold_0.3,71,15b5a805,ADI's eng. talent ratio & turnover impact on comp. innovation.,Company overview,True,[74],"[2058, 1318, 3848, 261, 4441]","[2058, 1318, 3848, 261, 4441]",[],[],unchanged,
d_threshold_0.3,72,6ea35e82,2024 vs 2023/22 ADI Industrial rev perf; abs & %; mkt demand trends for ADI.,Footnotes,False,[75],"[883, 4055, 309, 3085, 1717]","[883, 4055, 309, 3085, 1717]",[],[],unchanged,
d_threshold_0.3,74,04a8b1c4,"Impact of cybersecurity spend on profitability, cash flow, and risk profile for ADI.",Risk,False,[78],"[2632, 1507, 1493, 3687, 2803]","[2632, 1507, 1493, 3687, 2803]",[],[],unchanged,
d_threshold_0.3,75,2dd33bdf,ADI's rev. stability stems from diverse portfolio & robust cust. svc. drivers.,Company overview,False,[79],"[782, 2863, 56, 3146, 493]","[782, 2863, 56, 3146, 493]",[],[],unchanged,
d_threshold_0.3,76,6c8c2275,Impact on financials & cash flows from ADI legal proceedings.,Legal,False,"[80, 81]","[3228, 3721, 5142, 5781, 1590]","[3228, 3721, 5142, 5781, 1590]",[],[],unchanged,
d_threshold_0.3,78,5bdcf5f7,The impact of ADI EHS regulation on manufacturing competitiveness and profitability is critical.,Governance,False,[83],"[5616, 1170, 2861, 5152, 2992]","[5616, 1170, 2861, 5152, 2992]",[],[],unchanged,
d_threshold_0.3,80,e9d47dd7,PP&E net additions & investment strategy for ADI fiscal 2024.,Footnotes,False,[85],"[2258, 5060, 549, 1543, 85]","[2258, 5060, 549, 1543, 85]",[],[],unchanged,
d_threshold_0.3,81,2af3f51a,ADI rev decline 2023-2024: IS drivers & future growth impact,Financials,False,"[73, 86]","[1009, 2438, 883, 5152, 5060]","[1009, 2438, 883, 5152, 5060]",[],[],unchanged,
d_threshold_0.3,82,1f789347,Liquidity impact from staggered leases on inventory commitments ADI.,Footnotes,False,[87],"[3477, 242, 1103, 1105, 3781]","[3477, 242, 1103, 1105, 3781]",[],[],unchanged,
d_threshold_0.3,83,c734df25,"Intelligent edge by ADI, outcomes of digital healthcare, growth in mobility - ticker.",Company overview,False,[88],"[5455, 401, 994, 937, 1100]","[5455, 401, 994, 937, 1100]",[],[],unchanged,
d_threshold_0.3,84,aafae895,"Looking at basic EPS growth for ADSK from FY22 to FY24, it also highlights investor sentiment.",Financials,True,[89],"[1529, 3801, 1206, 2440, 118]","[1529, 3801, 1206, 2440, 118]",[],[],unchanged,
d_threshold_0.3,85,232e40ba,Impact on op risk and long-term strategy from ADSK employee headcount mix.,Company overview,True,[90],"[5247, 185, 5613, 1436, 1989]","[5247, 185, 5613, 1436, 1989]",[],[],unchanged,
d_threshold_0.3,87,ae44c022,Repurchase timing factors for ADSK shares.,Shareholder return,False,[92],"[4278, 3718, 1990, 5756, 5356]","[4278, 3718, 1990, 5756, 5356]",[],[],unchanged,
d_threshold_0.3,88,21029196,Cybersecurity impact on profitability & cash flow for ADSK.,Risk,False,[93],"[2676, 1507, 631, 2757, 1493]","[2676, 1507, 631, 2757, 1493]",[],[],unchanged,
d_threshold_0.3,89,46f556a4,"Competitor consolidation in adjacent mkts affects AUTDSK's pricing power, rev margins, & overall impact.",Company overview,False,[94],"[3025, 5055, 2061, 4561, 1957]","[3025, 5055, 2061, 4561, 1957]",[],[],unchanged,
d_threshold_0.3,90,84e349c0,"Risk procedures for pending legal claims by Autodesk in financial reporting, ticker at end.",Legal,False,[95],"[95, 4856, 2645, 4139, 2478]","[95, 4856, 2645, 4139, 2478]",[],[],unchanged,
d_threshold_0.3,91,d5a95dc3,Exec tenure stability at ADSK is crucial for competitive positioning & sustainable growth.,Governance,False,[96],"[1082, 4868, 4346, 3777, 1114]","[1082, 4868, 4346, 3777, 1114]",[],[],unchanged,
d_threshold_0.3,93,0506434f,"Autodesk indirect channel impacts credit risk, revenue timing, and cash flows.",Accounting,False,[98],"[99, 89, 91, 676, 5059]","[99, 89, 91, 676, 5059]",[],[],unchanged,
d_threshold_0.3,94,ad6855c1,Long-duration purchase commitments by ADSK affect financial flexibility and cash flow.,Footnotes,False,[99],"[1301, 1072, 4632, 3210, 685]","[1301, 1072, 4632, 3210, 685]",[],[],unchanged,
d_threshold_0.3,95,c61bae06,Liquidity & capex ratio for Autodesk (ADSK) as of Jan 2024.,Footnotes,False,[100],"[89, 99, 3466, 3128, 3389]","[89, 99, 3466, 3128, 3389]",[],[],unchanged,
d_threshold_0.3,96,d568d2e6,"Autodesk's strategy on digital pipeline (ADSK) aims to enhance productivity, boost sustainability, and maximize financial impact.",Company overview,False,[101],"[91, 89, 102, 97, 99]","[91, 89, 102, 97, 99]",[],[],unchanged,
d_threshold_0.3,98,b4011614,2024 INTU service GP calc.,Financials,True,[103],"[818, 47, 4756, 3668, 4764]","[818, 47, 4756, 3668, 4764]",[],[],unchanged,
d_threshold_0.3,100,6066dbfc,Key drivers of rev growth & outlook for INTU.,Footnotes,False,[105],"[405, 103, 785, 145, 3931]","[405, 103, 785, 145, 3931]",[],[],unchanged,
d_threshold_0.3,101,89dd3112,Div policy of Intuit reflects interplay of capital returns.,Shareholder return,False,"[106, 107]","[1373, 1380, 103, 3982, 1358]","[1373, 1380, 103, 3982, 1358]",[],[],unchanged,
d_threshold_0.3,103,55aebc78,Tech & AI strat by Intuit for prod differentiation.,Company overview,False,[109],"[1311, 3284, 2622, 542, 783]","[1311, 3284, 2622, 542, 783]",[],[],unchanged,
d_threshold_0.3,105,ae2b4bf7,"INTU role segmentation & growth profit drivers, ticker at end.",Governance,False,[111],"[295, 145, 4599, 1152, 394]","[295, 145, 4599, 1152, 394]",[],[],unchanged,
d_threshold_0.3,106,7c5b68d5,ESG compliance governance updates from Intuit.,Governance,False,[112],"[112, 39, 713, 866, 1338]","[112, 39, 713, 866, 1338]",[],[],unchanged,
d_threshold_0.3,107,8a4d6b83,How do changes in bundled service delivery impact revenue and profitability for INTU?,Accounting,False,[113],"[2132, 628, 609, 564, 178]","[2132, 628, 609, 564, 178]",[],[],unchanged,
d_threshold_0.3,108,2cb2831f,"Maturity, coupon, and interest expense impact of senior notes for INTU 2020/2023.",Footnotes,False,"[114, 115]","[2122, 4609, 1513, 3207, 1299]","[2122, 4609, 1513, 3207, 1299]",[],[],unchanged,
d_threshold_0.3,109,ba0474b6,Liquidity risks of senior notes vs. credit facilities offer benefits; INTU.,Financials,False,[116],"[780, 779, 42, 2180, 2305]","[780, 779, 42, 2180, 2305]",[],[],unchanged,
d_threshold_0.3,110,250330d5,AI investments by Intuit impact operational efficiency margin.,Company overview,False,[117],"[103, 783, 4384, 1778, 4230]","[103, 783, 4384, 1778, 4230]",[],[],unchanged,
d_threshold_0.3,111,d285d328,FY23 rev for Intuit SB&SE derived from 19% growth.,Financials,True,[118],"[1529, 103, 3346, 1091, 1016]","[1529, 103, 3346, 1091, 1016]",[],[],unchanged,
d_threshold_0.3,112,4af93b03,Net profit margins trend for ROST over the past 3 fiscal yrs.,Financials,True,[119],"[295, 1451, 3801, 5167, 2473]","[295, 1451, 3801, 5167, 2473]",[],[],unchanged,
d_threshold_0.3,113,1ec36701,Retail vs non-retail headcount ratio for ROST.,Company overview,True,[120],"[2073, 1252, 121, 2164, 2049]","[2073, 1252, 121, 2164, 2049]",[],[],unchanged,
d_threshold_0.3,114,828fb2d1,ROST's margin impact from growth drivers in the product mix segments.,Footnotes,False,"[119, 121, 122]","[1159, 3909, 3025, 2992, 4357]","[1159, 3909, 3025, 2992, 4357]",[],[],unchanged,
d_threshold_0.3,115,2a356cda,"Trends in ROST's share repurchase activity vs. confidence in mgmt's buyback programs, ROST.",Shareholder return,False,[123],"[5128, 1348, 2802, 3122, 1747]","[5128, 1348, 2802, 3122, 1747]",[],[],unchanged,
d_threshold_0.3,116,cd5154f0,Ticker ROST's 3rd-party cybersecurity vetting processes and fin. stability impact.,Risk,False,[124],"[1782, 2803, 3111, 5822, 590]","[1782, 2803, 3111, 5822, 590]",[],[],unchanged,
d_threshold_0.3,117,856464dc,Tech/ops improvements in inv. mgmt. for ROST will enhance capex & cash flow.,Company overview,False,[125],"[3466, 1443, 2043, 3397, 1116]","[3466, 1443, 2043, 3397, 1116]",[],[],unchanged,
d_threshold_0.3,118,068a1239,WAGE/hour litigation liabilities impact on cash flows from ROST.,Legal,False,"[126, 127]","[1036, 5781, 5088, 3228, 607]","[1036, 5781, 5088, 3228, 607]",[],[],unchanged,
d_threshold_0.3,119,e4674704,"ROST's board composition plays a vital role in oversight and risk mgmt, impacting overall corp strategy.",Governance,False,[128],"[1038, 4104, 732, 731, 4703]","[1038, 4104, 732, 731, 4703]",[],[],unchanged,
d_threshold_0.3,120,e9e8f4a0,"Impact of ROST localized merchandising on competitive positioning and sustainable growth, ROST.",Governance,False,[129],"[3135, 2577, 4529, 5034, 1497]","[3135, 2577, 4529, 5034, 1497]",[],[],unchanged,
d_threshold_0.3,121,09c7fe13,ROST WC mgmt: impact of accrued vs prepaid items on rev rec risks for ticker.,Accounting,False,[130],"[1869, 4139, 1209, 4407, 861]","[1869, 4139, 1209, 4407, 861]",[],[],unchanged,
d_threshold_0.3,122,342e0b7e,EPS trends ROST and share count dynamics show significant shifts.,Financials,False,"[119, 131]","[3735, 1741, 5383, 2425, 4131]","[3735, 1741, 5383, 2425, 4131]",[],[],unchanged,
d_threshold_0.3,123,745bcee6,CAC & rev growth impact via ROST digital mktg.,Company overview,False,"[132, 133]","[2473, 553, 556, 5363, 4036]","[2473, 553, 556, 5363, 4036]",[],[],unchanged,
d_threshold_0.3,125,9bdcefdd,Timing amounts & liquidity risk for recorded vs. unrecorded obligations in ROST.,Footnotes,False,[135],"[3591, 4627, 3477, 4856, 4139]","[3591, 4627, 3477, 4856, 4139]",[],[],unchanged,
d_threshold_0.3,127,b6b4c96b,"Headcount for Nordson Corp on Oct 31, 2024, is to be determined; NDSN.",Company overview,True,[137],"[151, 1291, 4916, 285, 5371]","[151, 1291, 4916, 285, 5371]",[],[],unchanged,
d_threshold_0.3,128,2cc2abea,"NDSN organic sales by segment (IPS, MFS, ATS) and product line evolution.",Footnotes,False,[138],"[138, 1379, 170, 323, 3361]","[138, 1379, 170, 323, 3361]",[],[],unchanged,
d_threshold_0.3,129,63b30054,Liquidity & BS impact from Nordson's repurchase.,Shareholder return,False,[139],"[5740, 2597, 151, 4136, 1274]","[5740, 2597, 151, 4136, 1274]",[],[],unchanged,
d_threshold_0.3,131,eae61882,Nordson's (NDSN) R&D and tech support bolster comp. adv. & drive growth.,Company overview,False,[141],"[151, 2432, 145, 1186, 4401]","[151, 2432, 145, 1186, 4401]",[],[],unchanged,
d_threshold_0.3,132,68310ff7,NDN litigation exposure vs peers' impact on comp. positioning & future fin. health.,Legal,False,"[142, 143]","[5715, 4760, 2187, 5617, 1036]","[5715, 4760, 2187, 5617, 1036]",[],[],unchanged,
d_threshold_0.3,133,d0187de1,NDSN exec diversity & appt dates impact on strategy at Nordson Corporation.,Governance,False,[144],"[145, 2496, 2927, 2432, 455]","[145, 2496, 2927, 2432, 455]",[],[],unchanged,
d_threshold_0.3,134,9ded89bc,Impact of training & leadership investments on competitive positioning and sustainable growth: Nordson Corp.,Governance,False,[145],"[145, 4401, 4072, 153, 3317]","[145, 4401, 4072, 153, 3317]",[],[],unchanged,
d_threshold_0.3,135,568e0d0f,NDLS revenue reliability vs. industry benchmarks with commercial substance.,Accounting,False,[146],"[323, 4390, 5389, 5002, 695]","[323, 4390, 5389, 5002, 695]",[],[],unchanged,
d_threshold_0.3,136,3772d674,Calculation of inventory turnover for FY24 at Nordson.,Financials,False,"[136, 147]","[1011, 29, 839, 289, 1529]","[1011, 29, 839, 289, 1529]",[],[],unchanged,
d_threshold_0.3,137,de06fbdb,Impact of timing on cash flow ops for Nordson Corp regarding interest outflows.,Footnotes,False,[148],"[971, 2234, 2043, 1662, 4753]","[971, 2234, 2043, 1662, 4753]",[],[],unchanged,
d_threshold_0.3,138,05095fe2,"NDSN liquidity evolution 2024: cash on hand, ops cash, credit facility borrowings.",Footnotes,False,"[149, 150]","[5351, 5740, 2180, 149, 256]","[5351, 5740, 2180, 149, 256]",[],[],unchanged,
d_threshold_0.3,139,6c4a2c46,Int'l rev trends & global exposure analysis for Nordson Corp.,Company overview,False,[151],"[151, 2832, 145, 297, 550]","[151, 2832, 145, 297, 550]",[],[],unchanged,
d_threshold_0.3,140,9045943c,OI growth drivers for 2022-2024 include trends in R&D & intangible amort for The Cooper Companies (COO).,Financials,True,[152],"[154, 4055, 4566, 1489, 3980]","[154, 4055, 4566, 1489, 3980]",[],[],unchanged,
d_threshold_0.3,141,6f59c8ed,"Cooper Companies forecasts a 3% workforce growth, with a breakdown across the Americas, EMEA, and Asia Pacific; COO.",Company overview,True,[153],"[4441, 5700, 5160, 5127, 3143]","[4441, 5700, 5160, 5127, 3143]",[],[],unchanged,
d_threshold_0.3,142,de4cb7cb,"Net sales & OI correlation with segments, global exposure risk for COO EU/US ticker.",Footnotes,False,"[154, 155]","[1379, 457, 794, 17, 1109]","[1379, 457, 794, 17, 1109]",[],[],unchanged,
d_threshold_0.3,144,f8b3bd40,"Impact of COO cybersecurity IR processes on efficiency & profitability, ticker.",Risk,False,[158],"[3190, 1854, 816, 3634, 4736]","[3190, 1854, 816, 3634, 4736]",[],[],unchanged,
d_threshold_0.3,146,033627fb,ASC 450 loss quantification for COO.,Legal,False,"[160, 161]","[161, 1444, 872, 3258, 2415]","[161, 1444, 872, 3258, 2415]",[],[],unchanged,
d_threshold_0.3,147,abafb622,COO's exec board communication on capital allocation & ticker accountability.,Governance,False,[162],"[5825, 1427, 836, 5241, 513]","[5825, 1427, 836, 5241, 513]",[],[],unchanged,
d_threshold_0.3,148,eaf0a2ef,"The geo diversification, operational risk, and financial health of The Cooper Companies (COO) are significant factors to consider.",Governance,False,[163],"[2499, 1457, 443, 4816, 154]","[2499, 1457, 443, 4816, 154]",[],[],unchanged,
d_threshold_0.3,149,3ae9e4ea,Cooper Companies (COO) revenue recog. alloc. consistency.,Accounting,False,[164],"[152, 1233, 154, 394, 4808]","[152, 1233, 154, 394, 4808]",[],[],unchanged,
d_threshold_0.3,150,0871482c,CapEx trends for COO segment over the next 3 yrs.,Footnotes,False,[154],"[3466, 3581, 4599, 706, 1524]","[3466, 3581, 4599, 706, 1524]",[],[],unchanged,
d_threshold_0.3,151,6b748773,"Impact on comp. & profit. from advanced dist., pkg., & customization investments by COO.",Company overview,False,[165],"[872, 2530, 3153, 3883, 5115]","[872, 2530, 3153, 3883, 5115]",[],[],unchanged,
d_threshold_0.3,152,24df0d32,Future payment scheds for COO's operating lease will impact cash flow expenses.,Footnotes,False,[166],"[4829, 4699, 2483, 5665, 242]","[4829, 4699, 2483, 5665, 242]",[],[],unchanged,
d_threshold_0.3,153,adcd97ab,Ticker analysis of COO OCF liquidity dependence.,Financials,False,[167],"[2911, 2329, 4383, 3128, 2912]","[2911, 2329, 4383, 3128, 2912]",[],[],unchanged,
d_threshold_0.3,157,68ea2cce,"Update on CPB repurchase capacity for June/Sept 2021 and implications for future buybacks, ticker CPB.",Shareholder return,False,[172],"[1364, 172, 3644, 508, 123]","[1364, 172, 3644, 508, 123]",[],[],unchanged,
d_threshold_0.3,161,4c16bbd0,"Exec hires at Campbell Soup Co. focus on culture, comms, & risk mgmt. impact.",Governance,False,[176],"[1752, 4896, 3014, 169, 1709]","[1752, 4896, 3014, 169, 1709]",[],[],unchanged,
d_threshold_0.3,162,08b7269b,"Supply chain strategy of CPB, effects of raw mat volatility, cash flow & cap allocation impact.",Governance,False,[177],"[2682, 3779, 5351, 5405, 295]","[2682, 3779, 5351, 5405, 295]",[],[],unchanged,
d_threshold_0.3,165,fb3ffabe,DB amendments liability impact on Campbell Soup.,Footnotes,False,"[180, 181]","[179, 1495, 5088, 168, 4671]","[179, 1495, 5088, 168, 4671]",[],[],unchanged,
d_threshold_0.3,166,cbe5d68e,SAP ERP & Sovos tech investments by Campbell Soup are aimed at boosting efficiency by 2025.,Footnotes,False,[182],"[182, 1443, 1446, 179, 1766]","[182, 1443, 1446, 179, 1766]",[],[],unchanged,
