category,query_id,fold,question,gold_passage_id,gold_title,bm25_first_gold_rank,dense_first_gold_rank,hybrid_first_gold_rank,hybrid_transfer_first_gold_rank,hybrid_dense_weight,bm25_top5_ids,dense_top5_ids,hybrid_top5_ids
hybrid_rescue,5,3,"Frank and Joe are jurors in an arson trial. Over the weekend, Joe finds photos of the accused holding a petrol canister and texts them to Frank. Having received this new information, what should Frank do?",1.5-c8-s1,1.5 Notifying the Judge About Irregularities,25,11,5,5,0.25,"[""1.5.1-c5-s2"", ""1.11-c8-s2"", ""1.11-c8-s1"", ""1.5.1-c5-s1"", ""1.5-c1-s4""]","[""1.5.1-c3-s2"", ""1.11-c6-s2"", ""1.5-c1-s4"", ""4.12-c7-s27"", ""7.5.19.2-c1-s1""]","[""1.5-c1-s4"", ""1.5.1-c5-s1"", ""1.11-c8-s1"", ""1.11-c2-s1"", ""1.5-c8-s1""]"
hybrid_rescue,10,2,Emma is found in possession of someone else’s phone but has no documentation of how she obtained it. Emma’s counsel argues that possession of the phone is circumstantial evidence and thus completely inadmissible to establish guilt. Is Emma’s counsel correct?,3.6-c2-s1,3.6 Use of Circumstantial Evidence,13,31,2,2,0.5,"[""7.9.1-c2-s3"", ""7.6.3-c3-s8"", ""7.3.1.7-c1-s2"", ""7.5.11-c7-s3"", ""1.7-c4-s13""]","[""7.5.12.1-c2-s3"", ""7.3.29.1-c5-s1"", ""7.5.14.4-c2-s1"", ""9.4.1-c7-s1"", ""B9.4.1-c7-s1""]","[""7.5.11-c7-s3"", ""3.6-c2-s1"", ""7.5.12.1-c4-s4"", ""7.5.12.1-c2-s2"", ""3.6-c3-s13""]"
hybrid_rescue,15,3,Paul is 12 years old. He is a witness in a trial related to a common law riot. You are counsel for the accused. Should you argue that Paul’s is fundamentally untrustworthy because of his age?,4.2-c3-s1,4.2 Prohibited Statements and Directions,20,31,4,4,0.25,"[""7.3.21.1-c7-s1"", ""7.3.16.1-c5-s1"", ""7.3.9.5-c6-s4"", ""4.12-c3-s1"", ""4.2-c4-s1""]","[""7.3.13-c4-s5"", ""4.2-c4-s1"", ""7.3.28.1-c4-s1"", ""7.3.21.1-c7-s2"", ""7.3.30.1-c4-s1""]","[""7.3.21.1-c7-s1"", ""4.2-c4-s1"", ""7.3.16.1-c5-s1"", ""4.2-c3-s1"", ""7.3.9.5-c6-s4""]"
hybrid_rescue,41,1,"Liam and Noah plan to break into a warehouse to steal electronics. Liam agrees to act as the lookout while Noah goes inside; during the burglary, Noah violently assaults a security guard. Liam is later charged as a secondary party to the assault. Under Victorian law, on what basis could Liam be found “involved in the commission” of the assault, even though he only agreed to help with the burglary?",5.1-c2-s1,5.1 Statutory Complicity (Victoria),7,17,1,1,0.25,"[""7.5.4-c4-s2"", ""5.2.5-c1-s1"", ""5.8.3-c1-s2"", ""5.2-c11-s1"", ""5.2-c2-s2""]","[""7.5.4.1-c1-s1"", ""7.5.6-c1-s4"", ""7.5.6-c2-s1"", ""7.5.4-c4-s3"", ""7.5.4.1-c2-s1""]","[""5.1-c2-s1"", ""7.5.4-c4-s2"", ""5.2-c1-s1"", ""7.5.6-c1-s2"", ""5.2-c11-s1""]"
hybrid_failure,2,4,"Harry is serving as a juror in a burglary trial. He is also a professional locksmith. During the proceedings, Harry is shown a lock which, in his expert view, is too damaged to have been lockpicked in the manner described in court. Why might Harry's expert knowledge of lockpicking be irrelevant when assessing the physical evidence?",1.5-c5-s1,1.5 Jury Room Experiments,36,9,5,9,0.5,"[""1.1-c1-s2"", ""1.2-c2-s2"", ""2.1-c2-s1"", ""1.2.1-c3-s1"", ""1.11-c8-s1""]","[""4.13.3-c3-s1"", ""4.13.1.1-c1-s1"", ""4.13.1-c5-s4"", ""4.13.1-c5-s5"", ""4.13.1.2-c1-s1""]","[""1.1-c1-s2"", ""4.13.1.1-c1-s1"", ""4.13.1-c5-s6"", ""4.13.1.2-c1-s1"", ""1.5-c5-s1""]"
hybrid_failure,4,2,Should jurors be excused if they have encountered news stories about the accused prior to the trial commencing?,1.5-c7-s2,1.5 Pre-trial Publicity,39,13,15,20,0.5,"[""1.2-c2-s2"", ""1.2.1-c1-s1"", ""1.5-c2-s1"", ""1.1-c1-s2"", ""1.2.1-c2-s1""]","[""1.2-c2-s3"", ""1.11-c8-s1"", ""1.5.1-c5-s1"", ""1.2-c2-s2"", ""1.2.1-c2-s1""]","[""1.2-c2-s2"", ""1.2-c2-s3"", ""1.2.1-c1-s1"", ""1.2.1-c2-s1"", ""1.11-c8-s1""]"
hybrid_failure,6,3,Does the standard of proof of “beyond reasonable doubt” imply that the jury must be fully convinced of every claim the prosecution has made?,1.7-c3-s2,1.7 Standard of Proof,11,5,7,7,0.25,"[""3.7.1-c1-s1"", ""10.2.1-c6-s1"", ""3.16-c8-s1"", ""1.7-c4-s2"", ""11.1-c12-s1""]","[""1.7-c4-s17"", ""1.7-c3-s5"", ""1.7-c4-s21"", ""1.7-c3-s6"", ""1.7-c3-s2""]","[""10.2.1-c6-s1"", ""3.16-c8-s1"", ""11.1-c12-s1"", ""3.7.1-c1-s1"", ""1.7-c4-s16""]"
hybrid_failure,7,0,"Sally is accused of cultivating narcotic plants in her backyard. One of the elements of this charge is that “the accused intentionally cultivated or attempted to cultivate a particular substance.” To establish whether this is the case, the judge believes it would be valuable to visit Sally’s backyard and have the jury examine it for themselves. What is the name of the legal procedure whereby the court travels to a location relevant to the charge?",2.1-c1-s1,2.1 Views,0,0,0,0,0.5,"[""7.6.2-c2-s1"", ""7.6.2.4-c3-s2"", ""7.6.2.4-c6-s1"", ""7.6.2.1-c1-s1"", ""7.6.2.1-c5-s1""]","[""7.6.2.1-c1-s1"", ""7.6.2.6-c1-s2"", ""7.6.2.2-c1-s1"", ""7.6.2.4-c1-s1"", ""7.6.2.5-c1-s1""]","[""7.6.2.1-c1-s1"", ""7.6.2-c2-s1"", ""7.6.2.6-c1-s2"", ""7.6.2.4-c1-s1"", ""7.6.2.5-c1-s1""]"
hybrid_failure,8,0,"Josh is 21 years old. He witnessed a murder that was clearly perpetrated by the accused. The prosecution, however, needs to determine whether the accused committed the acts voluntarily, thus satisfying the elements of intentional or reckless murder. In court, the judge plays a recording of Josh giving his eyewitness testimony. What is this evidentiary process called?",2.3.3-c2-s1,2.3.3 The VARE Procedure,0,0,0,0,0.5,"[""7.1.2-c3-s2"", ""7.4.7-c1-s4"", ""7.2.2-c4-s1"", ""7.1.1-c8-s3"", ""7.2.1.3-c1-s1""]","[""7.2.2.2-c3-s1"", ""4.18.1-c2-s1"", ""4.14.1-c1-s1"", ""7.2.2-c2-s2"", ""7.2.1.4-c1-s2""]","[""7.1.1-c8-s3"", ""4.6-c6-s5"", ""7.2.2.2-c3-s1"", ""7.2.2-c2-s2"", ""7.4.7-c1-s4""]"
hybrid_lost_baseline_hit,6,3,Does the standard of proof of “beyond reasonable doubt” imply that the jury must be fully convinced of every claim the prosecution has made?,1.7-c3-s2,1.7 Standard of Proof,11,5,7,7,0.25,"[""3.7.1-c1-s1"", ""10.2.1-c6-s1"", ""3.16-c8-s1"", ""1.7-c4-s2"", ""11.1-c12-s1""]","[""1.7-c4-s17"", ""1.7-c3-s5"", ""1.7-c4-s21"", ""1.7-c3-s6"", ""1.7-c3-s2""]","[""10.2.1-c6-s1"", ""3.16-c8-s1"", ""11.1-c12-s1"", ""3.7.1-c1-s1"", ""1.7-c4-s16""]"
hybrid_lost_baseline_hit,25,2,"In an armed robbery trial, a shop assistant who has served the accused every week for years is shown still images from CCTV and says, “Based on how he looks, that’s the same customer who comes into my store.” What type of identification evidence is this an example of?",4.12-c2-s1,4.12 What is Identification Evidence?,0,3,25,0,0.5,"[""7.5.3.1-c2-s1"", ""5.8.1-c1-s2"", ""7.5.22.11-c3-s3"", ""4.12-c7-s27"", ""4.22.1-c2-s3""]","[""4.12-c6-s1"", ""4.12-c4-s1"", ""4.12-c2-s1"", ""4.12-c1-s1"", ""4.12-c6-s2""]","[""4.12.2-c1-s1"", ""4.12-c6-s1"", ""4.12-c7-s27"", ""7.5.3.1-c2-s1"", ""4.12-c7-s30""]"
hybrid_lost_baseline_hit,27,1,"You are the trial judge in a child stealing case. During the trial, the prosecutor briefly mentions that the image used for recognising the accused was taken before the accused was detained but gives no further explanation. What are judges instructed to do in this situation?",4.12.2-c1-s2,4.12.2 Charge: Photographic Identification,0,2,0,0,0.25,"[""1.11-c15-s1"", ""1.10.1-c4-s1"", ""1.11-c3-s2"", ""1.4.1-c2-s2"", ""10.2.1-c5-s2""]","[""7.3.26-c7-s5"", ""4.12.2-c1-s2"", ""7.4.18.2-c1-s1"", ""7.3.26.1-c1-s1"", ""7.3.28-c8-s2""]","[""1.11-c3-s2"", ""1.4.1-c2-s2"", ""3.3.1-c1-s1"", ""2.1.1-c1-s1"", ""1.11-c14-s1""]"
hybrid_lost_baseline_hit,38,0,Daisy witnessed a murder in her prison and is called by the prosecution to give evidence. Is she a “prison informer”?,4.23-c2-s1,4.23 Section 32 Unreliability Warning,2,31,10,6,0.5,"[""4.23.1-c2-s1"", ""4.23-c2-s1"", ""4.21-c5-s6"", ""4.23-c1-s1"", ""4.23.1-c1-s1""]","[""4.23.1-c1-s1"", ""4.21-c5-s6"", ""4.23-c2-s3"", ""4.23.1-c2-s1"", ""4.23-c1-s1""]","[""4.23.1-c2-s1"", ""4.21-c5-s6"", ""4.23.1-c1-s1"", ""4.23-c2-s3"", ""4.23-c1-s1""]"
hybrid_lost_baseline_hit,49,3,"Liam throws a heavy brick off a freeway overpass into peak-hour traffic. He later tells police, “I knew it might hit a car, but I didn’t really think much more about it.” At trial, the prosecution tells the jury that recklessness is established if Liam knew the brick “might” cause harm. Why is this an incorrect statement of the legal test for recklessness in Victoria?",7.1.3-c1-s3,7.1.3 Recklessness,26,2,7,7,0.25,"[""7.2.1-c5-s5"", ""7.3.1.3.1-c1-s3"", ""1.11-c6-s1"", ""1.5.1-c3-s1"", ""4.6.4-c1-s2""]","[""7.1.3-c1-s2"", ""7.1.3-c1-s3"", ""7.4.5-c3-s2"", ""7.4.6-c2-s2"", ""7.2.1-c5-s3""]","[""7.2.1-c5-s5"", ""7.4.6.1-c3-s1"", ""B7.4.6.1-c3-s1"", ""7.5.16-c5-s1"", ""7.4.6.3-c3-s1""]"
