query_id,fold,question,gold_passage_id,gold_title,bm25_first_gold_rank,dense_first_gold_rank,hybrid_first_gold_rank,hybrid_transfer_first_gold_rank,hybrid_dense_weight,bm25_top5_ids,dense_top5_ids,hybrid_top5_ids
11,1,"John is on trial for an unnamed offence. John testifies that he could not have committed the offence because he was at an arcade 10 miles away when the offence took place. Earlier, the jury accepted arcade tickets as evidence of John's alibi. John’s counsel now argues that, given this plausible alibi, John could not have committed the crime. What type of reasoning is this an example of?",3.6-c1-s1,3.6 Circumstantial Evidence and Inferences,0,0,0,0,0.25,"[""4.12.5-c1-s1"", ""4.25-c2-s2"", ""4.25.1-c1-s1"", ""4.6.3-c1-s1"", ""1.4.1-c2-s1""]","[""4.15-c3-s3"", ""4.25-c2-s3"", ""7.5.11-c4-s6"", ""4.25-c2-s4"", ""3.6-c3-s7""]","[""4.25.1-c1-s1"", ""4.25-c2-s2"", ""4.25-c1-s1"", ""4.12.5-c1-s1"", ""4.6.3-c1-s1""]"
12,0,Does Victoria have a law/laws protecting against double jeopardy?,3.12-c1-s1,3.12 Taking Verdicts,0,0,0,0,0.5,"[""8.15-c2-s2"", ""4.24-c1-s1"", ""4.2-c2-s2"", ""8.14-c8-s1"", ""7.5.22-c1-s2""]","[""7.3.11-c5-s1"", ""8.11-c1-s2"", ""8.9-c1-s1"", ""8.10-c1-s1"", ""8.3-c1-s1""]","[""4.24-c1-s1"", ""7.5.22-c1-s2"", ""8.10-c12-s1"", ""8.9-c12-s1"", ""8.14-c8-s1""]"
13,1,"Sophie and Hazel are two of twelve jurors in a trial. Both are uncertain of their verdict, while the remaining ten jurors believe the accused is guilty. The jury is becoming frustrated with Sophie and Hazel's indecision, but the judge instructs the jury to continue deliberating. What is this instruction called?",3.13-c2-s1,3.13 Perseverance (Black) Directions,10,64,6,6,0.25,"[""3.13-c3-s1"", ""3.13-c3-s5"", ""3.9-c3-s2"", ""3.13-c3-s3"", ""1.11-c13-s1""]","[""1.1-c1-s1"", ""1.2-c2-s1"", ""1.1-c1-s2"", ""3.9-c3-s3"", ""4.22-c2-s6""]","[""1.1-c1-s2"", ""3.13-c3-s5"", ""3.13-c3-s3"", ""1.5-c8-s1"", ""3.10-c2-s3""]"
14,4,"Tim is on trial for aggravated burglary. Before Tim gives evidence, his counsel calls another witness to testify first. Why might this be a bad idea for the defence?",4.1-c1-s1,4.1 The Accused as a Witness,56,70,26,39,0.5,"[""2.4.1-c1-s1"", ""4.9-c4-s1"", ""4.4-c3-s4"", ""4.23.1-c2-s1"", ""7.5.5.4-c2-s1""]","[""4.9-c2-s2"", ""3.7.3-c1-s1"", ""4.9-c2-s1"", ""1.7-c4-s9"", ""3.16-c10-s1""]","[""7.5.5.4-c2-s1"", ""7.5.5.1-c2-s1"", ""3.7.3-c1-s1"", ""2.4.1-c1-s1"", ""3.16-c10-s1""]"
15,3,Paul is 12 years old. He is a witness in a trial related to a common law riot. You are counsel for the accused. Should you argue that Paul’s is fundamentally untrustworthy because of his age?,4.2-c3-s1,4.2 Prohibited Statements and Directions,20,31,4,4,0.25,"[""7.3.21.1-c7-s1"", ""7.3.16.1-c5-s1"", ""7.3.9.5-c6-s4"", ""4.12-c3-s1"", ""4.2-c4-s1""]","[""7.3.13-c4-s5"", ""4.2-c4-s1"", ""7.3.28.1-c4-s1"", ""7.3.21.1-c7-s2"", ""7.3.30.1-c4-s1""]","[""7.3.21.1-c7-s1"", ""4.2-c4-s1"", ""7.3.16.1-c5-s1"", ""4.2-c3-s1"", ""7.3.9.5-c6-s4""]"
16,0,Can the defence use good character evidence to argue the accused is innocent?,4.3-c2-s2,4.3 Evidence of Good Character,3,12,6,3,0.5,"[""4.3.1-c1-s2"", ""4.3.2-c1-s2"", ""4.3-c2-s2"", ""4.3-c3-s2"", ""4.3-c2-s1""]","[""4.3-c2-s3"", ""4.3.3-c1-s1"", ""4.3-c2-s9"", ""4.3-c2-s4"", ""3.6.1-c1-s2""]","[""4.3-c2-s3"", ""4.3-c2-s9"", ""4.3-c3-s2"", ""4.3.3-c1-s1"", ""4.3-c3-s1""]"
17,3,Can the prosecution freely use bad character evidence to argue the accused is guilty?,4.3-c3-s1,4.3 Evidence of Bad Character,5,2,4,4,0.25,"[""4.3.1-c1-s2"", ""4.3-c3-s2"", ""4.3.2-c1-s2"", ""4.3.3-c1-s1"", ""4.3-c3-s1""]","[""4.3-c3-s2"", ""4.3-c3-s1"", ""4.3.3-c1-s1"", ""4.3.2-c1-s3"", ""4.3-c2-s10""]","[""4.3-c3-s2"", ""4.3.1-c1-s2"", ""4.3.3-c1-s1"", ""4.3-c3-s1"", ""4.3.2-c1-s1""]"
18,1,"Sam is on trial for murdering her neighbour. The prosecution presents a text from Sam to a friend saying, “I murdered my neighbour today.” What must be established for this text to be treated as an admission?",4.5-c5-s1,4.5 Using an Admission,0,30,0,0,0.25,"[""1.5.1-c1-s3"", ""1.11-c3-s2"", ""1.11-c4-s2"", ""1.4.1-c2-s2"", ""4.6-c9-s2""]","[""4.5.1-c1-s1"", ""7.2.1.3-c5-s1"", ""4.5-c5-s2"", ""4.5-c5-s7"", ""8.9.2-c10-s1""]","[""1.5.1-c1-s3"", ""1.11-c4-s2"", ""4.5.1-c2-s1"", ""1.11-c3-s2"", ""1.4.1-c2-s2""]"
19,4,"Omar is charged with intentionally causing serious injury. In a recorded interview, he admits being at the scene and pushing the complainant but denies using a weapon or intending serious harm. At trial, the prosecution asks the jury to accept the incriminating parts of the interview but treat his denial of using a weapon as lies. Does this necessarily involve ‘consciousness of guilt’ reasoning?",4.6-c3-s5,4.6 Post-offence lies,1,39,3,2,0.5,"[""4.6-c3-s5"", ""7.4.1.1-c9-s1"", ""4.6-c1-s1"", ""7.4.2.1-c7-s1"", ""7.4.2.3-c7-s1""]","[""4.6.1-c3-s1"", ""4.15-c3-s6"", ""7.5.11-c4-s7"", ""4.4.1-c1-s1"", ""4.6-c3-s6""]","[""4.6.1-c3-s1"", ""7.5.11-c4-s7"", ""4.6-c3-s5"", ""7.4.2.7-c8-s1"", ""4.15-c3-s6""]"
20,0,"Liam is on trial for arson. His sister gives evidence that, at a family dinner, she said, “The police think you set fire to Dad’s shed. You didn’t do it, did you?” Liam, who had been speaking normally, then went silent and looked down. Can this be used as evidence probative of guilt?",4.6-c4-s1,4.6 Other post-offence behaviour,19,2,1,2,0.5,"[""4.16-c4-s4"", ""8.1.1-c2-s1"", ""8.10.1-c2-s1"", ""8.9.1-c2-s1"", ""4.1.1-c1-s1""]","[""4.4.1-c1-s1"", ""4.6-c4-s1"", ""4.10-c3-s4"", ""4.6-c3-s6"", ""4.6.1-c3-s1""]","[""4.6-c4-s1"", ""4.4.2-c1-s1"", ""4.1.1-c1-s1"", ""4.15-c7-s4"", ""3.6.1-c1-s1""]"
21,1,"At Zoe’s assault trial, the prosecution argues that her blank, expressionless stare at photos of the injured complainant indicates guilt. Is this argument sound?",4.6-c4-s9,4.6 Other post-offence behaviour,97,74,65,65,0.25,"[""7.3.4.4-c1-s1"", ""4.18.1-c3-s1"", ""7.3.4.2-c1-s2"", ""4.2-c4-s1"", ""7.3.27.1-c1-s1""]","[""7.3.4.1-c3-s1"", ""7.3.4.3-c3-s1"", ""7.3.1.4-c5-s2"", ""1.8-c2-s4"", ""7.3.4.4-c1-s1""]","[""7.3.4.4-c1-s1"", ""7.4.9.2-c1-s2"", ""7.3.4.2-c1-s2"", ""7.3.1.4-c5-s2"", ""7.4.9.4-c1-s2""]"
22,4,The defence raises the issue of mental impairment and bears the onus of proving it. There is a psychiatrist who has examined the accused. Is the prosecution required to call this psychiatrist as a witness?,4.9-c2-s1,4.9 Failure to Call a Witness,1,25,8,2,0.5,"[""4.9-c2-s1"", ""8.4-c6-s1"", ""8.8-c4-s10"", ""10.2.1-c6-s2"", ""8.4.1-c2-s1""]","[""8.4.1-c4-s1"", ""10.2.1-c6-s2"", ""8.4-c6-s2"", ""4.13.1-c5-s6"", ""8.4-c2-s1""]","[""10.2.1-c6-s2"", ""8.4-c4-s1"", ""8.4.1-c2-s1"", ""8.4.1-c4-s1"", ""8.4-c7-s1""]"
23,1,"Sarah is tried for armed robbery. She does not give or call any evidence. In closing, the prosecution avoids mentioning her silence directly but repeatedly stresses that “only the prosecution’s account is supported by evidence.” Is this submission by the prosecution permissible?",4.10-c7-s1,4.10 Prohibited Comments by the Prosecution,83,7,33,33,0.25,"[""1.10-c1-s3"", ""4.10-c3-s2"", ""4.10-c3-s4"", ""7.5.3.2-c7-s1"", ""4.10-c2-s1""]","[""2.4-c1-s2"", ""4.10-c3-s4"", ""4.10-c3-s5"", ""4.15-c5-s2"", ""7.5.3.1-c2-s1""]","[""4.10-c3-s4"", ""4.10-c3-s2"", ""1.10-c1-s3"", ""4.10-c2-s1"", ""4.9-c2-s7""]"
24,3,"In a criminal trial, defence counsel fails to challenge an important part of a prosecution witness’s evidence and later runs a case theory inconsistent with that evidence. The prosecution complains that this has caused unfairness. As the trial judge, how should you decide what to do about it?",4.11-c8-s1,4.11 Remedies for Breaching the Rule,9,0,21,21,0.25,"[""3.5.1-c1-s1"", ""3.16-c7-s1"", ""11.1-c11-s1"", ""1.11-c9-s1"", ""1.6.1-c1-s1""]","[""4.13.1.2-c1-s2"", ""1.7-c4-s9"", ""1.4.1-c2-s2"", ""1.11-c3-s2"", ""4.14-c2-s10""]","[""3.5.1-c1-s1"", ""1.5.1-c1-s2"", ""1.8-c2-s4"", ""1.11-c3-s2"", ""1.4.1-c2-s2""]"
25,2,"In an armed robbery trial, a shop assistant who has served the accused every week for years is shown still images from CCTV and says, “Based on how he looks, that’s the same customer who comes into my store.” What type of identification evidence is this an example of?",4.12-c2-s1,4.12 What is Identification Evidence?,0,3,25,0,0.5,"[""7.5.3.1-c2-s1"", ""5.8.1-c1-s2"", ""7.5.22.11-c3-s3"", ""4.12-c7-s27"", ""4.22.1-c2-s3""]","[""4.12-c6-s1"", ""4.12-c4-s1"", ""4.12-c2-s1"", ""4.12-c1-s1"", ""4.12-c6-s2""]","[""4.12.2-c1-s1"", ""4.12-c6-s1"", ""4.12-c7-s27"", ""7.5.3.1-c2-s1"", ""4.12-c7-s30""]"
26,3,"One of the elements of aggravated carjacking is the use of a weapon or causing injury to another person (Crimes Act 1958 s 79A). Smith witnesses an aggravated carjacking late at night. He sees the offender wield a weapon but does not get a good look at their face. A year later, he positively identifies the accused, saying he “recognised him immediately from the daytime photo the police showed me last year.” What cognitive bias, about which the jury is educated, may be relevant in this case?",4.12.2-c1-s1,4.12.2 Charge: Photographic Identification,27,0,30,30,0.25,"[""7.5.9-c1-s1"", ""7.5.9.1-c1-s1"", ""7.3.3-c6-s1"", ""7.3.7-c5-s1"", ""7.5.8-c1-s1""]","[""7.5.9-c1-s2"", ""7.5.9.2-c1-s2"", ""4.12-c7-s30"", ""7.5.9.1-c1-s1"", ""7.5.9-c1-s1""]","[""7.5.9-c1-s1"", ""7.5.9.1-c1-s1"", ""4.12-c7-s27"", ""7.5.9.2-c1-s3"", ""7.5.8.1-c1-s1""]"
27,1,"You are the trial judge in a child stealing case. During the trial, the prosecutor briefly mentions that the image used for recognising the accused was taken before the accused was detained but gives no further explanation. What are judges instructed to do in this situation?",4.12.2-c1-s2,4.12.2 Charge: Photographic Identification,0,2,0,0,0.25,"[""1.11-c15-s1"", ""1.10.1-c4-s1"", ""1.11-c3-s2"", ""1.4.1-c2-s2"", ""10.2.1-c5-s2""]","[""7.3.26-c7-s5"", ""4.12.2-c1-s2"", ""7.4.18.2-c1-s1"", ""7.3.26.1-c1-s1"", ""7.3.28-c8-s2""]","[""1.11-c3-s2"", ""1.4.1-c2-s2"", ""3.3.1-c1-s1"", ""2.1.1-c1-s1"", ""1.11-c14-s1""]"
28,3,"Harvey is on trial for dangerous driving causing serious injury. Priya, a mechanic with 15 years’ experience, inspects the damaged vehicles and wants to tell the jury that, in her opinion, the pattern of damage shows Harvey was travelling at “at least 110 km/h” before impact. Are Priya’s comments inadmissible because they are opinion evidence?",4.13.1-c2-s1,4.13.1 Admissibility of Opinion Evidence,0,8,0,0,0.25,"[""7.2.6-c1-s1"", ""7.2.6-c2-s1"", ""7.2.6-c5-s6"", ""7.2.6.1-c1-s1"", ""7.2.6.2-c1-s1""]","[""3.9-c5-s4"", ""7.7.3.1-c5-s3"", ""7.2.6-c5-s2"", ""7.2.5-c3-s7"", ""4.13.1-c5-s4""]","[""7.2.6-c5-s6"", ""7.2.6.1-c3-s1"", ""7.2.6.2-c3-s1"", ""7.2.6-c1-s1"", ""7.2.6-c2-s1""]"
29,4,"Chris is on trial for intentionally or recklessly causing a bushfire. His counsel says he was carrying out a “cool burn.” Talia, a First Nations woman, is called to explain First Nations practices. Is Talia’s evidence admissible?",4.13.1-c2-s1,4.13.1 Admissibility of Opinion Evidence,0,0,0,0,0.5,"[""7.5.21.2-c1-s1"", ""7.5.21.1-c1-s1"", ""7.5.21-c1-s1"", ""7.5.21.1-c4-s1"", ""7.5.21-c2-s1""]","[""7.5.21.1-c4-s1"", ""7.5.21.2-c1-s1"", ""7.5.20.1-c4-s1"", ""7.5.21.1-c2-s1"", ""8.3.1-c4-s1""]","[""7.5.21.2-c1-s1"", ""7.5.21.1-c4-s1"", ""7.5.21.1-c1-s1"", ""7.5.21.1-c2-s1"", ""7.5.21-c1-s1""]"
30,2,"Noah is on trial for killing his father, who had been violent towards Noah’s mother for decades. The defence calls an expert to describe how poverty, lack of access to services, and cultural stigma around separation can trap families in violent homes. Is this expert's evidence admissible?",4.13.1-c2-s2,4.13.1 Admissibility of Opinion Evidence,7,0,27,17,0.5,"[""7.4.18-c8-s1"", ""8.1-c11-s3"", ""8.2-c14-s2"", ""8.9.1-c1-s2"", ""8.10.1-c1-s2""]","[""8.10.2-c9-s1"", ""8.9.2-c9-s1"", ""8.2-c14-s3"", ""8.10-c7-s14"", ""8.2-c14-s2""]","[""8.2-c14-s2"", ""8.10.2-c9-s1"", ""8.9.2-c9-s1"", ""8.2.2-c3-s3"", ""8.10.1-c1-s2""]"
31,4,"Police have detained and taken DNA samples from three of four full siblings in a carjacking investigation: Chloe (female, 24), Sam (female, 23), and Joseph (male, 22). The fourth sibling, Kyle (male, 22), was not detained or sampled. Mitochondrial DNA testing of a crime scene sample links all three sampled siblings to the scene. Y-STR testing (which examines Y-chromosome DNA passed from father to son) links Joseph to the scene. Nuclear DNA testing also links Joseph to the scene. Is this information sufficient to reasonably link Joseph to the crime scene?",4.13.2-c4-s2,4.13.2 Jury Directions,25,62,16,14,0.5,"[""4.13.2-c1-s1"", ""4.13.2-c2-s2"", ""4.13.2-c2-s3"", ""4.13.3-c5-s2"", ""7.3.10.1-c1-s1""]","[""4.13.2-c2-s4"", ""4.13.2-c4-s5"", ""4.13.2-c2-s2"", ""4.13.2-c1-s1"", ""4.13.2.1-c1-s1""]","[""4.13.2-c1-s1"", ""4.13.2-c2-s2"", ""4.13.2-c2-s4"", ""4.13.3.1-c1-s1"", ""4.13.3-c5-s2""]"
32,1,"Police have detained and taken DNA samples from three of four full siblings in a carjacking investigation: Chloe (female, 24), Sam (female, 23), and Joseph (male, 22). The fourth sibling, Kylie (female, 22), was not detained or sampled. Mitochondrial DNA testing of a crime scene sample links all three sampled siblings to the scene. Y-STR testing (which examines Y-chromosome DNA passed from father to son) links Joseph to the scene. Nuclear DNA testing also links Joseph to the scene. Is this information sufficient to reasonably link Joseph to the crime scene?",4.13.2-c4-s2,4.13.2 Jury Directions,25,73,16,16,0.25,"[""4.13.2-c1-s1"", ""4.13.2-c2-s2"", ""4.13.2-c2-s3"", ""4.13.3-c5-s2"", ""7.3.10.1-c1-s1""]","[""4.13.2-c2-s4"", ""4.13.2-c4-s5"", ""4.13.2-c2-s2"", ""4.13.2-c1-s1"", ""4.13.2.1-c1-s1""]","[""4.13.2-c1-s1"", ""4.13.2-c2-s2"", ""4.13.3-c5-s2"", ""4.13.2-c2-s3"", ""4.13.3.1-c1-s1""]"
33,3,Is the right to silence based solely on common law?,4.15-c3-s1,4.15 No Adverse Inference May be Drawn,2,4,2,2,0.25,"[""4.16-c1-s1"", ""4.15-c3-s1"", ""7.5.11-c7-s4"", ""4.15-c2-s1"", ""4.15-c3-s2""]","[""4.15-c2-s1"", ""4.16-c1-s1"", ""4.15-c1-s1"", ""4.15-c3-s1"", ""4.15-c7-s4""]","[""4.16-c1-s1"", ""4.15-c3-s1"", ""4.15-c2-s1"", ""4.15-c3-s2"", ""4.15-c6-s1""]"
34,1,"Daniel is questioned by police about an armed robbery. He gives his name and age but answers “no comment” when asked where he was at 1 am and who he was with. He is now on trial, and you are the prosecutor. Should you invite the jury to treat his selective silence as evidence of guilt?",4.15-c3-s5,4.15 No Adverse Inference May be Drawn,6,91,7,7,0.25,"[""2.4.1-c1-s1"", ""4.15-c3-s4"", ""4.6-c4-s8"", ""4.15-c3-s2"", ""4.15.1-c1-s2""]","[""4.16-c4-s6"", ""4.15-c7-s2"", ""4.15-c7-s4"", ""4.15.1-c1-s2"", ""1.10-c1-s3""]","[""4.6-c4-s8"", ""4.15.1-c1-s2"", ""4.15-c7-s4"", ""4.15-c7-s2"", ""4.16-c4-s4""]"
35,2,"At dinner, Kim and Frank watch a news story about a drive-by shooting. Kim says the car looks like Frank’s and asks, “That’s not your car, is it, Frank?” Frank stays silent. Frank is now on trial. Why is it important for the prosecution that Kim is not a government authority?",4.16-c1-s1,4.16 Silence in Response to Equal Parties,0,20,47,0,0.5,"[""1.5.1-c1-s2"", ""11.1-c5-s1"", ""1.11-c4-s1"", ""3.2.1-c1-s1"", ""4.4-c3-s4""]","[""7.2.5-c3-s7"", ""4.6-c4-s8"", ""4.15-c7-s2"", ""4.15-c7-s4"", ""4.10-c2-s1""]","[""1.5.1-c1-s2"", ""4.15.1-c1-s1"", ""7.2.5-c3-s7"", ""1.3.1-c1-s1"", ""2.5.2-c1-s1""]"
36,1,"Kim and Frank are at a Christmas party and are watching a news story about a recent drive-by shooting. Kim thinks the car looks like Frank’s and asks, “That’s not your car, is it?” Frank stays silent. A few minutes later, the police shut down the party due to noise complaints. Later, Frank is on trial for offences related to the same drive-by shooting. Why is it important to the defence that the party was loud?",4.16-c3-s1,4.16 Admissibility,0,0,0,0,0.25,"[""7.8.3-c2-s9"", ""7.5.11.1-c1-s2"", ""4.15-c7-s4"", ""1.11-c8-s2"", ""1.5.1-c5-s2""]","[""4.16-c1-s1"", ""4.15-c7-s4"", ""4.15.1-c1-s2"", ""7.5.11.1-c1-s3"", ""7.5.11-c4-s8""]","[""4.15-c7-s4"", ""7.8.3-c2-s9"", ""7.5.11.1-c1-s2"", ""4.15-c3-s2"", ""4.10-c7-s2""]"
37,3,"Rachel is on trial for poisoning her business partner with mushrooms. There is no direct proof Rachel possessed poisonous mushrooms, but the prosecution shows that: (1) two weeks before the death she searched for a specific species of poisonous mushroom; (2) she had a manual for dehydration equipment that can mask the taste of mushrooms; and (3) toxicology shows her partner was poisoned by that same species. The prosecution argues it is highly improbable all of this is coincidental, if the death were an accident. What kind of inferential reasoning or type of evidence is the prosecution asking the jury to use?",4.18-c2-s1,"4.18 What is ""Coincidence Evidence""?",1,0,4,4,0.25,"[""4.18-c2-s1"", ""4.18-c5-s4"", ""4.16-c4-s4"", ""4.17-c6-s2"", ""8.2-c13-s1""]","[""8.7-c3-s5"", ""8.7-c3-s4"", ""4.18-c5-s4"", ""8.7-c3-s8"", ""3.6-c3-s8""]","[""4.18-c5-s4"", ""7.6.3-c4-s3"", ""3.6-c3-s14"", ""4.18-c2-s1"", ""4.16-c4-s4""]"
38,0,Daisy witnessed a murder in her prison and is called by the prosecution to give evidence. Is she a “prison informer”?,4.23-c2-s1,4.23 Section 32 Unreliability Warning,2,31,10,6,0.5,"[""4.23.1-c2-s1"", ""4.23-c2-s1"", ""4.21-c5-s6"", ""4.23-c1-s1"", ""4.23.1-c1-s1""]","[""4.23.1-c1-s1"", ""4.21-c5-s6"", ""4.23-c2-s3"", ""4.23.1-c2-s1"", ""4.23-c1-s1""]","[""4.23.1-c2-s1"", ""4.21-c5-s6"", ""4.23.1-c1-s1"", ""4.23-c2-s3"", ""4.23-c1-s1""]"
