query_id,question,bm25_hit5,dense_hit5,hybrid_hit5,hybrid_rescues_bm25,hybrid_loses_bm25_hit,all_miss
61,Two friends agree to race their cars along a suburban street. One driver loses control and fatally hits a cyclist; the other does not crash. On what general basis could the second driver still be held responsible for the death?,0,0,0,0,0,1
62,"While driving late at night, Jerry fails to see a cyclist and runs him over, killing him instantly. Jerry was not drunk, reckless or negligent. Why does it matter to the prosecution that Jerry knew his headlights were broken before driving?",0,0,0,0,0,1
63,"Asha is Ben’s manager at work. One evening they both freely and voluntarily have sex. Two days after the act, Asha regrets her decision. Does this mean Asha's consent was violated?",0,0,0,0,0,1
65,"Jones is on trial for an unnamed sexual offence. He says that, in his culture, silence or lack of resistance means agreement. Must the jury learn more about this culture to decide whether he reasonably believed there was consent?",0,0,0,0,0,1
66,"After an alleged sexual assault, Liam goes straight to his sister’s apartment and, sobbing and struggling to speak, tells her what happened. At trial, the prosecution calls his sister to describe his emotional state when he reported it. Why might Liam’s behaviour at that time be important evidence against the accused?",0,0,0,0,0,1
67,"At trial, the complainant describes an alleged sexual assault in a completely flat tone, without visible emotion. Some jurors think this means she is “probably lying.” Is this a valid assumption?",1,0,1,0,0,0
68,"Assume the year is 2012. Why is it problematic for a judge to direct the jury that the prosecution must prove the accused “intended to commit rape in the sense that, at the time of penetration, he knew the complainant was not or might not be consenting”?",1,1,1,0,0,0
69,"The prosecution alleges that the accused forced the complainant to put his own penis into his own mouth. Under the current statutory definition, does this amount to sexual penetration of oneself?",0,0,0,0,0,1
70,"In 2016, person A instructs person C to insert person C’s finger into person B’s mouth. Under the definition of “sexual penetration” in s 37D of the Crimes Act 1958, why does this not amount to person A sexually penetrating person B?",1,1,1,0,0,0
71,"In 2016, person A instructs person C to insert person C’s penis into person B’s mouth. Under the definition of “sexual penetration” in s 37D of the Crimes Act 1958, why does this amount to person A sexually penetrating person B?",1,1,1,0,0,0
72,"Under Victorian law, can a person assigned male at birth be sexually penetrated somewhere other than the anus or mouth?",0,0,0,0,0,1
73,"On a crowded tram, Caleb briefly brushes Rina’s hand while reaching for a pole; later he privately admits he finds her attractive and had a sexual interest in her. On these grounds alone, is Caleb’s private sexual interest enough to make that brief hand contact “sexual touching”?",1,0,1,0,0,0
74,"Assume the year is 2011. Nina is sexually aroused by feet and secretly attracted to her colleague Caleb. During a meeting, she slowly removes his shoe under the table, later admitting she did so purely for her own sexual gratification. Does her sexual motive alone make the removal of Caleb’s shoe an indecent assault?",1,1,1,0,0,0
75,"During an argument, Imogen swings her fist at Sara but stops just short. Sara flinches and braces for impact, but later says she “wasn’t actually scared.” Why doesn’t Sara’s claim that she wasn’t afraid stop Imogen’s conduct from amounting to assault?",0,0,0,0,0,1
77,"Mia receives several late-night calls from Noah. Each time she answers, he says nothing. Knowing his violent history, she believes he is outside about to attack. What is the citation of the common law case that held this conduct can amount to assault?",0,1,1,1,0,0
78,"Assault' is defined to mean the direct or indirect application of force to the body of, or to the clothing or equipment worn by, a person. “Application of force” is defined to include the application of heat, light, electric current or any other form of energy, as well as the application of matter in solid, liquid or gaseous form. For the purposes of Victorian criminal law as it pertains to assault, which statute establishes the meaning of a police officer?",0,0,0,0,0,1
79,"Officer Harper stops Liam on the street, says, “I’m just curious if you’ve got anything on you,” and, without any lawful basis, searches his pockets and finds drugs. Liam resists and accidentally strikes Harper during the unlawful search. In these circumstances, is Harper acting “in the execution of her duty” at the time of the alleged assault?",1,1,1,0,0,0
81,Which Victorian statute amended the Crimes Act 1958 to cover stalking over the internet?,1,1,1,0,0,0
82,"What are the elements of carjacking? Actually, I can answer that question for you. The offence has the following three elements: (i) The accused stole a vehicle; (ii) Immediately before or at the time of the theft, the accused: (a) Used force on any person; or (b) Put any person in fear that s/he or another person would, then and there, be subject to the use of force; or (c) Sought to put any person in fear that s/he or another person would, then and there, be subject to the use of force; and (iii) The accused did so in order to commit the theft (Crimes Act 1958 s 79(1)). Answer only this question: In a large shopping centre, Soraya stands in one spot near the central atrium all afternoon, turning only her head and eyes to keep Felix in view as he walks between different levels and stores. She never changes her physical position. On these facts, does Soraya follow Felix?",0,0,0,0,0,1
83,"Angry at Leo, Martina repeatedly dumps dead flowers and threatening notes on his doorstep and also tags him in public posts accusing him of crimes, hoping his employer will see them. Which two separate stalking acts in statutes best capture this pattern? The following information is irrelevant to answering the question: In 2013, Leo was convicted of “manslaughter by unlawful and dangerous act.” During the trial, a jury member asked the judge the following question: “Under Victorian law, what is the first element of an unlawful and dangerous act causing death and what does it entail? And also, what are the other elements to this offence? And how is it different to negligent manslaughter?”",0,0,0,0,0,1
84,"Mary is Rafa’s mother. Twelve-year-old Rafa has been especially naughty this week: on Monday he threw water on his brother Gregory, and on Tuesday he stole his sister’s watch. On Wednesday, as punishment, Mary confines Rafa to his room for an hour. What are the citations of the cases suggesting that Mary’s treatment of Rafa is lawful? As an aside, let's talk about Mary’s childhood. When Mary was younger, she was part of a violent gang. She would roam the streets carrying a cricket bat, and when elderly women walked past, Mary would swing the bat towards them, never actually hitting them but bringing it close enough to make them believe they were about to be struck. One day, Mary was caught by the police. She was charged with assault not involving the application of force but was never convicted because the prosecution couldn’t prove the first element of the offence.",0,0,0,0,0,1
87,"During a gig, Luca quietly picks up someone else’s guitar, uses it for his set, then returns it to exactly the same spot before the owner notices. He always planned to put it back. On these facts alone, has Luca formed the mental element for theft?",0,0,0,0,0,1
88,How does the definition of “dishonesty” under Commonwealth law differ from that used in Victorian law?,1,1,1,0,0,0
89,What is a good?,0,0,0,0,0,1
90,"Kai forces the owner of a vacant farm to leave, then lives there rent-free for six months, locking everyone else out of the gate and using it as his own space. For the purposes of handling stolen goods, does Kai’s wrongful occupation turn the land itself into “stolen goods”?",0,0,0,0,0,1
92,"One element of theft is an intention to permanently deprive the owner of property. Nicholas threatens to smash his neighbour’s car unless she pays him $500 “for the damage you did last year,” an amount she genuinely owes. He intends to keep the $500 permanently but makes no claim over any other property. On these facts, which offence does his state of mind more clearly support – theft or blackmail – and why?",0,0,1,1,0,0
93,"Rafi, a former executive of a publicly traded company, phones the current CEO and says, “Transfer $1 million to my account or I’ll leak information that will seriously damage your company's valuation.” Years earlier, Rafi was convicted of assault not involving force. Under Victorian law, what technical label best fits this kind of threat, and which reported case in your materials is cited as authority for treating market-damage threats in this way?",0,1,1,1,0,0
94,"Josh deliberately and dishonestly destroys physical bank documents that record a loan he still owes, hoping to improve his own financial position. Which specific offence best captures Josh's conduct?",0,0,0,0,0,1
95,"Marco transfers cryptocurrency through multiple wallets to make it harder to trace, fully aware it came from a fraud scheme. Under the Victorian “dealing with proceeds of crime” offences, which physical element is clearly satisfied by his conduct, and which highest mental state could be charged on these facts?",1,1,1,0,0,0
97,"Over six months, Minh alternates between weeks of intense dealing and long quiet stretches with no proven activity. The transactions involve different drugs, buyers and locations, but all are commercial. The indictment alleges he “trafficked” by carrying on a business over that whole period. What must the jury be satisfied of, given the patchy pattern of conduct?",1,0,0,0,1,0
98,"“The salt of the abovementioned drugs, derivates and _______” Which word goes in the blank and which act does this phrase belong to?",1,1,1,0,0,0
99,"After a grave insult, Jordan cools off for several hours, then calmly returns and kills. Which state of mind required for provocation is missing on these facts, and what is the technical term for it?",0,0,0,0,0,1
100,"“There was an agreement between the accused and the deceased to seek the _____ of all parties to the agreement.” What is the missing word, and where is this specific phrase used?",1,0,1,0,0,0
